Year,Make,Model,Used/New,Price,ConsumerRating,ConsumerReviews,SellerType,SellerName,SellerRating,SellerReviews,StreetName,State,Zipcode,DealType,ComfortRating,InteriorDesignRating,PerformanceRating,ValueForMoneyRating,ExteriorStylingRating,ReliabilityRating,ExteriorColor,InteriorColor,Drivetrain,MinMPG,MaxMPG,FuelType,Transmission,Engine,VIN,Stock#,Mileage
2021,Tesla,Model 3 Standard Range Plus,Used,"$52,781 ",3,1,Dealer,Surprise Ford,2.8,259,16825 W Waddell Rd Surprise,AZ,85388,Great,3,4,5,2,4,1,Red Multi,Black,Rear-wheel Drive,150,133,–,1-Speed Automatic,Electric,5YJ3E1EA7MF060693,P3319A,18773
2020,Tesla,Model 3 Standard Range Plus,Used,"$48,963 ",4.3,16,Dealer,AutoNation INFINITI Tustin,4.6,676,33 Auto Center Dr Tustin,CA,92782,Good,4.6,4.4,4.6,4,4.2,4.4,Silver Gray,–,Rear-wheel Drive,148,132,–,1-Speed Automatic,Electric,5YJ3E1EA5LF630561,LF630561,30134
2021,Tesla,Model 3 Long Range,Used,"$60,283 ",3,1,Dealer,Shottenkirk Hyundai of Granbury,4.6,171,4960 E US Hwy 377 Granbury,TX,76049,Great,3,4,5,2,4,1,White,Black,All-wheel Drive,141,127,Gasoline,1-Speed Automatic,10 Cylinder,5YJ3E1EB6MF975303,MF975303H,16367
2022,Tesla,Model 3 Long Range,Used,"$65,499 ",4.8,2,Dealer,Koons Clarksville Chevy Buick GMC,4.5,388,12421 Auto Dr Clarksville,MD,21029,Great,5,4.5,5,4.5,4.5,5,Deep Blue Metallic,Black,All-wheel Drive,134,126,Electric,1 speed automatic,Electric Motor,5YJ3E1EB4NF114736,000P6585,4921
2019,Tesla,Model 3 Standard Range Plus,Used,"$45,992 ",4.9,33,Dealer,AutoNation Toyota Tempe,4.6,2395,7970 S Autoplex Loop Tempe,AZ,85284,Great,4.9,4.9,5,4.8,4.9,5,Black,–,Rear-wheel Drive,140,124,Electric,1-Speed Automatic,Electric,5YJ3E1EA7KF305506,KF305506,59745
2018,Tesla,Model 3 Long Range,Used,"$48,982 ",4.6,117,Dealer,Warren Henry Auto Group,4.8,531,2300 NE 151st St North Miami,FL,33181,Great,4.7,4.7,4.9,4.4,4.7,4.6,Black,Black,Rear-wheel Drive,136,123,Electric,1-Speed Automatic,Electric,5YJ3E1EA0JF151901,NJF151901T,32704
2019,Tesla,Model 3 Long Range,Used,"$54,998 ",4.9,33,Dealer,"Delaware Cadillac, Subaru, Kia",4.8,944,1606 Pennsylvania Ave Wilmington,DE,19806,Good,4.9,4.9,5,4.8,4.9,5,Red Multi,Black,Rear-wheel Drive,136,123,Electric,1-Speed Automatic,Electric,5YJ3E1EA7KF329501,EV1837P,7909
2021,Tesla,Model Y Long Range,Used,"$65,869 ",4,15,Dealer,Tracy Volkswagen,3.5,26,2605 Auto Plaza Way Tracy,CA,95304,Great,4.1,4.2,4.3,3.7,4.2,3.8,Pearl White Multi,White / Black,All-wheel Drive,131,117,Electric,1-Speed Automatic,Electric,5YJYGDEE2MF102871,P16994,57476
2018,Tesla,Model 3 Mid Range,Used,"$47,900 ",4.6,117,Dealer,Koons Woodbridge Hyundai,3.9,35,1880 Opitz Blvd Woodbridge,VA,22191,Great,4.7,4.7,4.9,4.4,4.7,4.6,Black,Black,Rear-wheel Drive,128,117,Electric,1-Speed Automatic,Electric,5YJ3E1EA1JF156640,P12390A,46289
2019,Tesla,Model 3 Mid Range,Used,"$49,999 ",4.9,33,Dealer,CarVision of Maple Shade,4.8,562,2791 Route 73 South Maple Shade,NJ,8052,Good,4.9,4.9,5,4.8,4.9,5,Black,Black,Rear-wheel Drive,128,117,Electric,1-Speed Automatic,Electric,5YJ3E1EA6KF484556,484556,18565
2020,Tesla,Model 3 Long Range,Used,"$52,488 ",4.3,16,Dealer,Tracy Volkswagen,3.5,26,2605 Auto Plaza Way Tracy,CA,95304,Great,4.6,4.4,4.6,4,4.2,4.4,Black,White / Black,All-wheel Drive,124,116,Gasoline,1-Speed Automatic,10 Cylinder,5YJ3E1EB9LF638946,P16956A,49666
2020,Tesla,Model Y Long Range,Used,"$62,995 ",3.7,10,Dealer,NEXCAR,1.6,7,2980 W Oakland Park Blvd Oakland Park,FL,33311,Good,3.9,3.8,4.1,3.3,3.8,4,Red Multi,Black,All-wheel Drive,127,114,Electric,1-Speed Automatic,Electric,5YJYGDEE3LF009498,2240,49366
2019,Tesla,Model 3 Performance,Used,"$57,775 ",4.9,33,Dealer,Highline Auto Sales,4.6,327,555 Executive Dr Willowbrook,IL,60527,Great,4.9,4.9,5,4.8,4.9,5,Pearl White Multi,Black,All-wheel Drive,120,112,Electric,1-Speed Automatic,Electric,5YJ3E1EB6KF393182,HL6229,42427
2018,Tesla,Model 3 Performance,Used,"$58,998 ",4.6,117,Dealer,Pikes Peak Acura,3.8,242,655 Automotive Dr Colorado Springs,CO,80905,Good,4.7,4.7,4.9,4.4,4.7,4.6,Pearl White Multi,White,All-wheel Drive,120,112,Electric,1-Speed Automatic,Electric,5YJ3E1EB5JF081434,P1973,49583
2022,Tesla,Model S Plaid,Used,"$137,998 ",5,1,Dealer,CarMax Austin North - Now offering Curbside Pickup and Home Delivery,1.3,13,13300 N Interstate Hwy 35 Austin,TX,78753,Good,5,5,5,5,5,5,Red Multi,Cream,AWD,119,112,Electric,1-Speed Automatic,Electric,5YJSA1E60NF461376,23006485,2512
2019,Hyundai,Kona EV Limited,Used,"$31,975 ",4.8,13,Dealer,Bill Luke Tempe,4.8,1105,7833 S Autoplex Loop Tempe,AZ,85284,Good,4.8,4.9,4.9,4.8,4.7,4.8,Galactic Gray,Black,Front-wheel Drive,132,108,Electric,1-Speed Automatic,Electric,KM8K33AG8KU051279,BF25217,48116
2019,Hyundai,Kona EV Ultimate,Used,"$37,975 ",4.8,13,Dealer,Bill Luke Tempe,4.8,1105,7833 S Autoplex Loop Tempe,AZ,85284,Good,4.8,4.9,4.9,4.8,4.7,4.8,Chalk White,Black,Front-wheel Drive,132,108,Electric,1-Speed Automatic,Electric,KM8K53AG1KU047438,BF25218,11696
2020,Tesla,Model 3 Performance,Used,"$60,400 ",4.3,16,Dealer,Leonardtown Ford,4.6,135,26322 Point Lookout Rd Leonardtown,MD,20650,Good,4.6,4.4,4.6,4,4.2,4.4,Black,Black,All-wheel Drive,118,107,–,1-Speed Automatic,0,5YJ3E1EC5LF602874,602874,46021
2021,Tesla,Model 3 Performance,Used,"$64,750 ",3,1,Dealer,eCarOne,4.9,1826,555 North East Loop 820 Hurst,TX,76053,Good,3,4,5,2,4,1,Pearl White Multi,White / Black,All-wheel Drive,118,107,Gasoline,1-Speed Automatic,10 Cylinder,5YJ3E1EC2MF054477,PMF054477,14055
2020,Tesla,Model Y Performance,Used,"$67,880 ",3.7,10,Dealer,Autos of Dallas,4.3,1341,4472 W Plano Pkwy Plano,TX,75093,Good,3.9,3.8,4.1,3.3,3.8,4,White,Black,All-wheel Drive,116,106,Electric,1-Speed Automatic,Electric,5YJYGDEF0LF003005,3005,27750
2021,Tesla,Model Y Performance,Used,"$69,898 ",4,15,Dealer,Toyota of Vero Beach,4.4,493,1075 South US Highway #1 Vero Beach,FL,32962,Good,4.1,4.2,4.3,3.7,4.2,3.8,Black,White / Black,All-wheel Drive,115,106,Electric,1-Speed Automatic,Electric,5YJYGDEF3MF099004,23589,28566
